"Submission Date","En el rectángulo blanco a continuación, ponga 50 puntos de manera aleatoria","Escriba un numero entre 0-9","Seleccione su género","Seleccione un nivel de estudio","¿Cuantos años tiene?","Seleccione un área del conocimiento","¿Cree que los seres humanos tenemos un destino escrito?","¿Usted se considera una persona religiosa?"
"2020/11/21 19:18:55",https://www.jotform.com/uploads/yjeanpaul/203225137773049/4818135340671651521/4818135340671651521_base64_4.png,4,Femenino,Pregrado,35,"Ingenieria, arquitectura, urbanismo",No,Si
"2020/11/21 19:18:34",https://www.jotform.com/uploads/yjeanpaul/203225137773049/4818135130985020274/4818135130985020274_base64_4.png,7,Masculino,Pregrado,20,"Economia, administracion, contaduria",Si,No
"2020/11/21 19:14:29",https://www.jotform.com/uploads/yjeanpaul/203225137773049/4818132680636012613/4818132680636012613_base64_4.png,2,Femenino,Pregrado,20,"Ciencias sociales y humanas",Si,Si
"2020/11/21 19:13:38",https://www.jotform.com/uploads/yjeanpaul/203225137773049/4818132183819381716/4818132183819381716_base64_4.png,2,Femenino,Bachillerato,18,"Ciencias de la salud",Si,No
"2020/11/21 19:06:35",https://www.jotform.com/uploads/yjeanpaul/203225137773049/4818127947419175344/4818127947419175344_base64_4.png,6,Masculino,Tecnica,28,"Economia, administracion, contaduria",Si,Si
"2020/11/21 19:04:14",https://www.jotform.com/uploads/yjeanpaul/203225137773049/4818126542221013246/4818126542221013246_base64_4.png,8,Masculino,Pregrado,21,"Ingenieria, arquitectura, urbanismo",No,No
"2020/11/21 19:02:39",https://www.jotform.com/uploads/yjeanpaul/203225137773049/4818125592126282102/4818125592126282102_base64_4.png,0,Femenino,Tecnica,25,"Bellas artes",Si,No
"2020/11/21 19:02:25",https://www.jotform.com/uploads/yjeanpaul/203225137773049/4818125452329466788/4818125452329466788_base64_4.png,8,Masculino,Tecnologica,22,"Ingenieria, arquitectura, urbanismo",No,No
"2020/11/21 19:02:16",https://www.jotform.com/uploads/yjeanpaul/203225137773049/4818125353827256420/4818125353827256420_base64_4.png,2,Femenino,Posgrado,19,"Economia, administracion, contaduria",Si,Si
"2020/11/21 18:59:38",https://www.jotform.com/uploads/yjeanpaul/203225137773049/4818123776997780339/4818123776997780339_base64_4.png,2,Femenino,Especializacion,32,"Ciencias sociales y humanas",No,Si
