"consecutivo";"genero";"fecha_nac";"carrera";"PAPA";"estrato";"computador_mesa";"portatil";"internet";"smartphone";"origen_covid_19";"estad_gov";"habito_1";"habito_2";"habito_3";"habito_4";"habito_5";"habito_6";"habito_7";"habito_8";"habito_9";"habito_10";"habito_11";"habito_12";"habito_13";"habito_14";"habito_15";"habito_16";"habito_17";"aleatorio"
110;"Masculino";"01/12/1999";"Estadística";"3.1";"2";"No";"Si, propio.";"Si. familiar,";NA;"Es una conspiración.";"No";"Tomas notas transcribiendo los ejercicios en clase.";"Lee varias veces un mismo capítulo del libro texto.";"Toma pausas cada cierto tiempo de estudio continuo.";"Prefiere pocos ejercicios bien entendios a dar un vistazo a muchos ejercicios resueltos.";"Prefiere dar un vistazo a ejercicios resueltos de todos los posibles ejercicios.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"7"
111;"Masculino";"25/03/2001";"Estadistica";NA;"1";"Si, propio.";"No";"Si, propio.";"Si, propio.";"Fue un resultado de pasar el virus de animales a los humanos.";"No";"Tomas notas transcribiendo los ejercicios en clase.";"Estudia varios temas distintos en una misma sesión de estudio.";"Estudia solo.";"Algunas veces estudia solo otras veces con amigos.";"Solo le pregunta a los amigos los ejercicios que no pudo resolver.";"Toma pausas cada cierto tiempo de estudio continuo.";"Usa los solucionarios para ver los ejercicios resueltos.";"Resuelve usted mismo los ejercicios sin ver las respuestas anticipadamente.";"Prefiere pocos ejercicios bien entendios a dar un vistazo a muchos ejercicios resueltos.";"Prefiere dar un vistazo a ejercicios resueltos de todos los posibles ejercicios.";NA;NA;NA;NA;NA;NA;NA;"8"
112;"Masculino";"23/08/1987";"ingenieria de sistemas";"3";"2";"Si, propio.";"Si, propio.";"Si, propio.";"Si, propio.";"Fue un resultado de pasar el virus de animales a los humanos.";"No";"Tomas notas transcribiendo los ejercicios en clase.";"Selecciona un lugar fijo de estudio.";"Estudia solo.";"Solo le pregunta a los amigos los ejercicios que no pudo resolver.";"Usa los solucionarios para ver los ejercicios resueltos.";"Resuelve usted mismo los ejercicios sin ver las respuestas anticipadamente.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"9"
113;"Femenino";"12/12/2002";"ESTADÍSTICA";"3.3";"1";"No";"Si, pero alquilado.";"Si, prestado.";"Si, propio.";"Fue un resultado de pasar el virus de animales a los humanos.";NA;"Tomas notas transcribiendo los ejercicios en clase.";"Selecciona un lugar fijo de estudio.";"Lee varias veces un mismo capítulo del libro texto.";"Algunas veces estudia solo otras veces con amigos.";"Solo le pregunta a los amigos los ejercicios que no pudo resolver.";"Toma pausas cada cierto tiempo de estudio continuo.";"Trasnocha estudiando para un examen.";"Madruga a estudiar.";"Usa los solucionarios para ver los ejercicios resueltos.";"Prefiere pocos ejercicios bien entendios a dar un vistazo a muchos ejercicios resueltos.";NA;NA;NA;NA;NA;NA;NA;"5"
114;"Masculino";"20\06\1994";"Ingenieria de sistemas e Infor";"3.8";"3";"Si, propio.";"Si, propio.";"Si. familiar,";"Si, propio.";"Fue un resultado de pasar el virus de animales a los humanos.
Fue fabricado en un laboratorio.";"Si";"Tomas notas transcribiendo los ejercicios en clase.";"Selecciona un lugar fijo de estudio.";"Lee varias veces un mismo capítulo del libro texto.";"Estudia solo.";"Solo le pregunta a los amigos los ejercicios que no pudo resolver.";"Toma pausas cada cierto tiempo de estudio continuo.";"Trasnocha estudiando para un examen.";"Usa los solucionarios para ver los ejercicios resueltos.";"Resuelve usted mismo los ejercicios sin ver las respuestas anticipadamente.";"Prefiere pocos ejercicios bien entendios a dar un vistazo a muchos ejercicios resueltos.";NA;NA;NA;NA;NA;NA;NA;"10"
115;"Masculino";"26/04/1999";"Ingeniería de sistemas";NA;"2";"Si, propio.";"No";"Si. familiar,";"Si, propio.";"Es una conspiración.
Fue fabricado en un laboratorio.";"No";"Tomas notas transcribiendo los ejercicios en clase.";"Escucha su música favorita mientras estudia.";"Lee varias veces un mismo capítulo del libro texto.";"Estudia varios temas distintos en una misma sesión de estudio.";"Algunas veces estudia solo otras veces con amigos.";"Los ejercicios los hace junto con los amigos de estudio.";"Toma pausas cada cierto tiempo de estudio continuo.";"Trasnocha estudiando para un examen.";"Memoriza ejercicios.";"Resuelve usted mismo los ejercicios sin ver las respuestas anticipadamente.";"Prefiere dar un vistazo a ejercicios resueltos de todos los posibles ejercicios.";NA;NA;NA;NA;NA;NA;"6"
116;"Masculino";"25/07/2001";"Estadística";"3.9";"2";"No";"Si, propio.";"Si, propio.";"Si, propio.";"Fue fabricado en un laboratorio.";"Si";"Hace un horario de estudio y se ajusta estrictamente a ese horario.";"Selecciona un lugar fijo de estudio.";"Lee varias veces un mismo capítulo del libro texto.";"Algunas veces estudia solo otras veces con amigos.";"Toma pausas cada cierto tiempo de estudio continuo.";"Resuelve usted mismo los ejercicios sin ver las respuestas anticipadamente.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"7"
117;"Masculino";"23/09/1995";"Estadística";"3.8";"5";"No";"Si, propio.";"Si, propio.";"Si, propio.";"No es real, es un pretexto de los gobiernos del mundo.";"No";"Estudia solo.";"Resuelve usted mismo los ejercicios sin ver las respuestas anticipadamente.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"5"
118;"Masculino";"18/11/1999";"Ingeniería de Sistemas";"3.5";"2";"Si,  pero prestado";"Si, pero prestado.";"Si, prestado.";"Si, propio.";"Fue un resultado de pasar el virus de animales a los humanos.";NA;"Tomas notas transcribiendo los ejercicios en clase.";"Hace un horario de estudio y se ajusta estrictamente a ese horario.";"Escucha su música favorita mientras estudia.";"Selecciona un lugar fijo de estudio.";"Lee varias veces un mismo capítulo del libro texto.";"Estudia varios temas distintos en una misma sesión de estudio.";"Algunas veces estudia solo otras veces con amigos.";"Los ejercicios los hace junto con los amigos de estudio.";"Toma pausas cada cierto tiempo de estudio continuo.";"Estudia todo el tema el día anterior del examen.";"Trasnocha estudiando para un examen.";"Madruga a estudiar.";"Memoriza ejercicios.";"Usa los solucionarios para ver los ejercicios resueltos.";"Resuelve usted mismo los ejercicios sin ver las respuestas anticipadamente.";"Prefiere pocos ejercicios bien entendios a dar un vistazo a muchos ejercicios resueltos.";"Prefiere dar un vistazo a ejercicios resueltos de todos los posibles ejercicios.";"5"
119;"Masculino";"23/11/2001";"Estadistica";"3.8";"2";"No";"Si, propio.";"Si. familiar,";"Si, propio.";NA;NA;"Tomas notas transcribiendo los ejercicios en clase.";"Hace un horario de estudio y se ajusta estrictamente a ese horario.";"Escucha su música favorita mientras estudia.";"Estudia con amigos.";"Los ejercicios los hace junto con los amigos de estudio.";"Toma pausas cada cierto tiempo de estudio continuo.";"Usa los solucionarios para ver los ejercicios resueltos.";"Resuelve usted mismo los ejercicios sin ver las respuestas anticipadamente.";NA;NA;NA;NA;NA;NA;NA;NA;NA;"8"
